Method,Time(%),TotalTime(ns),Count,Average(ns),Minimum(ns),Maximum(ns),Operation
16 500000 run 5,98.7,"25,500,602",15,"1,700,040.1","1,692,737","1,709,954",Kernel Time
2 100 run 1,96.1,"520,967",15,"34,731.1","34,560","36,289",Kernel Time
2 100 run 2,96.1,"521,032",15,"34,735.5","34,560","36,321",Kernel Time
2 100 run 3,96.1,"521,319",15,"34,754.6","34,592","36,352",Kernel Time
2 100 run 4,96.0,"521,416",15,"34,761.1","34,592","36,385",Kernel Time
2 100 run 5,96.1,"521,380",15,"34,758.7","34,560","36,385",Kernel Time
2 1000 run 1,95.5,"718,988",15,"47,932.5","47,712","48,609",Kernel Time
2 1000 run 2,95.4,"717,671",15,"47,844.7","47,552","48,417",Kernel Time
2 1000 run 3,95.5,"718,283",15,"47,885.5","47,585","48,641",Kernel Time
2 1000 run 4,95.2,"719,021",15,"47,934.7","47,552","48,897",Kernel Time
2 1000 run 5,95.5,"718,500",15,"47,900.0","47,616","48,608",Kernel Time
2 10000 run 1,99.2,"4,304,684",15,"286,978.9","284,420","292,002",Kernel Time
2 10000 run 2,99.2,"4,325,105",15,"288,340.3","285,187","293,892",Kernel Time
2 10000 run 3,99.2,"4,329,268",15,"288,617.9","285,283","293,540",Kernel Time
2 10000 run 4,99.2,"4,331,763",15,"288,784.2","285,795","294,563",Kernel Time
2 10000 run 5,99.2,"4,349,526",15,"289,968.4","286,242","296,769",Kernel Time
2 100000 run 1,99.8,"43,896,722",15,"2,926,448.1","2,690,899","3,875,995",Kernel Time
2 100000 run 2,99.8,"43,001,125",15,"2,866,741.7","2,691,540","3,734,076",Kernel Time
2 100000 run 3,99.8,"42,497,704",15,"2,833,180.3","2,691,925","3,998,719",Kernel Time
2 100000 run 4,99.8,"45,631,560",15,"3,042,104.0","2,691,029","3,998,271",Kernel Time
2 100000 run 5,99.8,"40,358,360",15,"2,690,557.3","2,683,940","2,702,403",Kernel Time
2 1000000 run 1,99.9,"465,136,707",15,"31,009,113.8","26,692,139","32,026,733",Kernel Time
2 1000000 run 2,99.9,"453,593,403",15,"30,239,560.2","26,693,812","31,770,199",Kernel Time
2 1000000 run 3,99.9,"458,096,192",15,"30,539,746.1","26,692,091","31,972,351",Kernel Time
2 1000000 run 4,99.9,"460,251,735",15,"30,683,449.0","26,695,709","31,728,449",Kernel Time
2 1000000 run 5,99.9,"461,706,718",15,"30,780,447.9","26,692,102","32,032,334",Kernel Time
2 500 run 1,94.4,"594,952",15,"39,663.5","39,520","40,545",Kernel Time
2 500 run 2,94.4,"593,929",15,"39,595.3","39,456","40,449",Kernel Time
2 500 run 3,94.4,"594,948",15,"39,663.2","39,456","40,865",Kernel Time
2 500 run 4,94.4,"594,444",15,"39,629.6","39,457","40,608",Kernel Time
2 500 run 5,94.3,"594,402",15,"39,626.8","39,392","40,576",Kernel Time
2 5000 run 1,98.5,"2,231,385",15,"148,759.0","147,298","153,410",Kernel Time
